Store idiot,Clerk Jerk,thinkable
,,
"Stubby, tennis area",Short Court,thinkable
,,
Stupid fruit,Dumb Plump,thinkable
,,
Ten cent violation,Dime Crime,thinkable
,,
Termite haven,Pest Nest,thinkable
,,
Submarine food,Sub Grub,thinkable
,,
Burly summer footwear,Strong Thong,thinkable
,,
Spirit party giver,Ghost Host,thinkable
,,
Sprint offspring,Run Son,thinkable
,,
Syrup collector,Sap Trap,thinkable
,,
Sugary beef,Sweet Meat,thinkable
,,
Sweeper chamber,Broom Room,thinkable
,,
Steak chair,Meat Seat,thinkable
,,
Squeeze herring,Squish Fish,thinkable
,,
Strange goatee,Weird Beard,thinkable
,,
Stop the fad,End Trend,thinkable
,,
Terrific escort,Great Date,thinkable
,,
Shy plaything,Coy Toy,thinkable
,,
"Below the chin, kiss",Neck Peck,thinkable
,,
Airplane collection,Jet Set,thinkable
,,
After winter jewelry,Spring Bling,thinkable
,,
Ancient flu,Old Cold,thinkable
,,
Animal doctor,Pet Vet,thinkable
,,
Angry adolescent,Mean Teen,thinkable
,,
Avenue hail,Street Sleet,thinkable
,,
A wise beginning,Smart Start,thinkable
,,
Acquire a sore,Gain Pain,thinkable
,,
Big pituitary,Grand Gland,thinkable
,,
"Black ""Jaws""",Dark Shark,thinkable
,,
Agricultural enchantment,Farm Charm,thinkable
,,
Athlete stocking,Jock Sock,thinkable
,,
Artificial pond,Fake Lake,thinkable
,,
Angry employer,Cross Boss,thinkable
,,
Argumentative feeling,Feud Mood,thinkable
,,
An obese vampire,Fat Bat,thinkable
,,
A twisted penny,Bent Cent,thinkable
,,
"Beach front, growl",Shore Roar,thinkable
,,
Boat voyage,Ship Trip,thinkable
,,
Boisterous assembly,Loud Crowd,thinkable
,,
"Chew, noon meal",Munch Lunch,thinkable
,,
Carpet pull,Rug Tug,thinkable
,,
Cliff oath,Ledge Pledge,thinkable
,,
Close by,Near Here,thinkable
,,
Broad playground toy,Wide Slide,thinkable
,,
Brave flu,Bold Cold,thinkable
,,
Cantaloupe criminal,Melon Felon,thinkable
,,
Calm kid,Mild Child,thinkable
,,
"Massage, baby bear",Rub Cub,thinkable
,,
Moody American,Cranky Yankee,thinkable
,,
Money party,Cash Bash,thinkable
,,
Linear 4+4,Straight Eight,thinkable
,,
Lots of turf,Mass Grass,thinkable
,,
Kitten quarrel,Cat Spat,thinkable
,,
Lengthy tune,Long Song,thinkable
,,
Liberated insect,Free Bee,thinkable
,,
Malicious pinto,Mean Bean,thinkable
,,
Lunar melody,Moon Tune,thinkable
,,
Machinery gas,Tool Fuel,thinkable
,,
Metal cot,Lead Bed,thinkable
,,
Mistaken melody,Wrong Song,thinkable
,,
Metal Needle,Tin Pin,thinkable
,,
Lime body organ,Green Spleen,thinkable
,,
Lawn protector,Yard Guard,thinkable
,,
Large toupee,Big Wig,thinkable
,,
Loaf cover,Bread Spread,thinkable
,,
Lodge light,Camp Lamp,thinkable
,,
Large person who doesn't enjoy Christmas,Huge Scrooge,thinkable
,,
Not as good as poem,Worse Verse,thinkable
,,
Mortgage howl,Loan Moan,thinkable
,,
Paddle shop,Oar Store,thinkable
,,
Nude rabbit,Bare Hare,thinkable
,,
Natural remedy,Pure Cure,thinkable
,,
Nice poster,Fine Sign,thinkable
,,
Pasta pastry,Noodle Strudel,thinkable
,,
Orca story,Whale Tale,thinkable
,,
Pale man in armor,White Knight,thinkable
,,
No more fiber,Bran Ban,thinkable
,,
Bathing time,Shower Hour,thinkable
,,
"Alcohol, spat",Liquor Bicker,thinkable
,,
Artic tooth,Polar Molar,thinkable
,,
A boat captain,Clipper Skipper,thinkable
,,
Admit too much,Confess Excess,thinkable
,,
A person who bags saltines,Cracker Packer,thinkable
,,
A food server that's joined the other side,Waiter Traitor,thinkable
,,
Barn tale,Stable Fable,thinkable
,,
Avoid the sweets,Avert Dessert,thinkable
,,
"Advertise, TV clicker",Promote Remote,thinkable
,,
A fence to prevent pinball playing,Arcade Blockade,thinkable
,,
A precise offensive move,Exact Attack,thinkable
,,
Agile wood,Limber Timber,thinkable
,,
A top-of-the-line prisoner,First-Rate Inmate,thinkable
,,
Attempting pouting,Trying Crying,thinkable
,,
Arguing sister,Quibbling Sibling,thinkable
,,
Amazing jogging,Stunning Running,thinkable
,,
Beautiful town,Pretty City,thinkable
,,
Alphabet cardigan,Letter Sweater,thinkable
,,
Animal watcher,Critter Sitter,thinkable
,,
Bleeding friend,Bloody Buddy,thinkable
,,
Bunny routine,Rabbit Habit,thinkable
,,
Caribbean subject,Tropic Topic,thinkable
,,
"Cold, Easter flower",Chilly Lily,thinkable
,,
Clever cat,Witty Kitty,thinkable
,,
Central violin,Middle Fiddle,thinkable
,,
Cat's gloves,Kitten's Mittens,thinkable
,,
Breakable pan,Brittle Skittle,thinkable
,,
Bovine war,Cattle Battle,thinkable
,,
Cherish job,Revere Career,thinkable
,,
Burn insect,Fry Fly,thinkable
,,
A reasonable request to God,Fair Prayer,thinkable
,,
A wild animal's dinner,Beast Feast,thinkable
,,
Beggar buddy,Bum Chum,thinkable
,,
4 + 5 could eat,Nine Dine,thinkable
,,
Where ghosts go to learn,Ghoul School,thinkable
,,
Wish hill,Hope Slope,thinkable
,,
Thin border,Fine Line,thinkable
,,
The most terrible craving for water,Worst Thirst,thinkable
,,
Street frog,Road Toad,thinkable
,,
Stag vehicle,Buck Truck,thinkable
,,
Youngster honesty,Youth Truth,thinkable
,,
Village jester,Town Clown,thinkable
,,
Pony rout,Horse Course,thinkable
,,
Hot drink charge,Tea Fee,thinkable
,,
Jar cover chart,Lid Grid,thinkable
,,
Grab a quick look at,Sneak Peek,thinkable
,,
Courageous captive,Brave Slave,thinkable
,,
Dog mug,Pup Cup,thinkable
,,
Dog noise,Hound Sound,thinkable
,,
Cargo entrance fence,Freight Gate,thinkable
,,
Clan secretary,Tribe Scribe,thinkable
,,
Rock area,Stone Zone,thinkable
,,
Postage winner,Stamp Champ,thinkable
,,
Adorable shoe,Cute Boot,thinkable
,,
Rookie team,New Crew,thinkable
,,
Top exam,Best Test,thinkable
,,
Unusual fish,Odd Cod,thinkable
,,
Prison story,Jail Tale,thinkable
,,
Dollar fortune,Buck Luck,thinkable
,,
Cow chuckle,Calf Laugh,thinkable
,,
Bruised hog,Sore Boar,thinkable
,,
Store cashier idiot,Clerk Jerk,thinkable
,,
Used honker,Worn Horn,thinkable
,,
Tossed batter,Throw Dough,thinkable
,,
Fur maintenance,Hair Care,thinkable
,,
Girl from Switzerland,Swiss Miss,thinkable
,,
Putty sled,Clay Sleigh,thinkable
,,
Pressed rug,Flat Mat,thinkable
,,
Scour the bath,Scrub Tub,thinkable
,,
Sleeky detective,Sly Spy,thinkable
,,
Little separation,Small Wall,thinkable
,,
Mind exhaust,Brain Drain,thinkable
,,
Lard Pot,Fat Vat,thinkable
,,
Hasty run,Rash Dash,thinkable
,,
Insect embrace,Bug Hug,thinkable
,,
Evening airplane trip,Night Flight,thinkable
,,
Fawn crying,Deer Tear,thinkable
,,
Inexpensive 4-wheeler,Cheap Jeep,thinkable
,,
Media anxiety,Press Stress,thinkable
,,
Loveboat daily,Cruise News,thinkable
,,
Middle egg pun,Yolk Joke,thinkable
,,
Snippy wife to be,Snide Bride,thinkable
,,
Shoe money,Boot Loot,thinkable
,,
Timid man,Shy Guy,thinkable
,,
Understood color,Knew Hue,thinkable
,,
Think rope stuff,String Thing,thinkable
,,
Housetop deception,Roof Spoof,thinkable
,,
Elegant backbone,Fine Spine,thinkable
,,
Fart,Pass Gas,thinkable
,,
Cool accomplishment,Neat Feat,thinkable
,,
Brave fungus,Bold Mold,thinkable
,,
City dress,Town Gown,thinkable
,,
Ruin the grease,Spoil Oil,thinkable
,,
Soda store,Pop Shop,thinkable
,,
"""Sniffer"" iced up",Nose Froze,thinkable
,,
Moitionless fish lung,Still Gill,thinkable
,,
Lip pecked forearm,Kissed Wrist,thinkable
,,
True bargain,Real Deal,thinkable
,,
Obvious terror,Clear Fear,thinkable
,,
Not fresh story,Stale Tale,thinkable
,,
Neat stage setting,Clean Scene,thinkable
,,
Living plunge,Live Dive,thinkable
,,
Imitation hoe,Fake Rake,thinkable
,,
Get rid of purple sore,Loose Bruise,thinkable
,,
College room application,Dorm Form,thinkable
,,
Aircraft stress,Plane Strain,thinkable
,,
Masked face animals song,Coon Tune,thinkable
,,
Paperpack corner,Book Nook,thinkable
,,
Vast country,Grand Land,thinkable
,,
Wind toy altitude,Kite Height,thinkable
,,
Curtain paper adhesive,Drape Tape,thinkable
,,
Gasoline law,Fuel Rule,thinkable
,,
Elderly metallic element,Old Gold,thinkable
,,
Crafty cornea,Sly Eye,thinkable
,,
Main steer,Chief Beef,thinkable
,,
Outstanding cargo,Great Freight,thinkable
,,
Surprise pistol,Stun Gun,thinkable
,,
Trap door handle,Hatch Latch,thinkable
,,
Washed empress,Clean Queen,thinkable
,,
Indigo church seat,Blue Pew,thinkable
,,
Wet postage,Damp Stamp,thinkable
,,
Store policeman,Shop Cop,thinkable
,,
Naughty boy,Bad Lad,thinkable
,,
Octopus slipped,Squid Slid,thinkable
,,
Icing Inferno,Glaze Blaze,thinkable
,,
Evergreen fluid,Spruce Juice,thinkable
,,
Change sewing pattern,Switch Stitch,thinkable
,,
Black rocks dish,Coal Bowl,thinkable
,,
A little toy baby,Small Doll,thinkable
,,
Smooch my sister,Kiss Sis,thinkable
,,
Large palm,Grand Hand,thinkable
,,
Metal tire,Steel Wheel,thinkable
,,
Electric measurement jerk,Volt Jolt,thinkable
,,
Ranch appeal,Farm Charm,thinkable
,,
Sightless brain,Blind Mind,thinkable
,,
Twist the female,Twirl Girl,thinkable
,,
Ebony tartar,Black Plaque,thinkable
,,
Certain bird's cag,Wren Pen,thinkable
,,
A box for holding worms for fishing,Bait Crate,thinkable
,,
Luggage label,Bag Tag,thinkable
,,
Sofa slump,Couch Slouch,thinkable
,,
Unrefined young guy,Crude Dude,thinkable
,,
Despair chamber,Doom Room,thinkable
,,
A tired nerd,Meek Geek,thinkable
,,
Farm animal vessel,Goat Boat,thinkable
,,
Intelligent dessert,Smart Tart,thinkable
,,
Obese cap,Fat Hat,thinkable
,,
Salary madness,Wage Rage,thinkable
,,
Vibrant bee home,Live Hive,thinkable
,,
A house of worship made from a white barked tree,Birch Church,thinkable
,,
Cloth rod,Towel Dowel,thinkable
,,
Fowl lyric,Bird Word,thinkable
,,
Influenze indicator,Flue Clue,thinkable
,,
Hide the burp,Squelch Belch,thinkable
,,
Moist lantern,Damp Lamp,thinkable
,,
Odd alteration,Strange Change,thinkable
,,
Nocturnal battle,Night Fight,thinkable
,,
Rectangular couple,Square Pair,thinkable
,,
Pig Utensil,Pork Fork,thinkable
,,
Plant the line,Sow Row,thinkable
,,
Rodent home,Mouse House,thinkable
,,
Rodent head bug,Mice Lice,thinkable
,,
Tardy escort,Late Date,thinkable
,,
What the frozen water costs,Ice Price,thinkable
,,
Light headed holy person,Faint Saint,thinkable
,,
Communitcator mortgage,Phone Loan,thinkable
,,
A tool for cutting bales of hay,Straw Saw,thinkable
,,
Light red psychiatrist,Pink Shrink,thinkable
,,
Raised patio inspection,Deck Check,thinkable
,,
Professional enemy,Pro Foe,thinkable
,,
Pebble supply,Rock Stock,thinkable
,,
Tripped nicely,Fell Well,thinkable
,,
The picnic pest is unable,Ant Can't,thinkable
,,
Youthful organ,Young Lung,thinkable
,,
Cool shoe spike,Freeze Cheese,thinkable
,,
Heated boat,Hot Yacht,thinkable
,,
Pastel red kitchen basin,Pink Sink,thinkable
,,
Not a fake tire,Reel Wheel,thinkable
,,
"Purple fruit, chewing stick",Plum Gum,thinkable
,,
Pheasant prison,Quail Jail,thinkable
,,
Redish nylons,Rose Hose,thinkable
,,
Sailboat rope tie,Yacht Knot,thinkable
,,
Turn clenched hand,Twist Fist,thinkable
,,
Well fitting coffee mug,Snug Mug,thinkable
,,
Footwear cube,Socks Box,thinkable
,,
Prying boy scout team,Snoop Troop,thinkable
,,
Stop the non-violence,Cease Peace,thinkable
,,
Wet winner,Damp Champ,thinkable
,,
Munchie bag,Snack Pack,thinkable
,,
Sweet condiment,Nice Spice,thinkable
,,
Fast floating,Swift Drift,thinkable
,,
Chicken noodle club,Soup Group,thinkable
,,
Fact detective,Truth Sleuth,thinkable
,,
Phoney pain,Fake Ache,thinkable
,,
Tiny sphere,Small Ball,thinkable
,,
Wander to your house,Roam Home,thinkable
,,
What you say when you want the feline to leave,Scat Cat,thinkable
,,
Hypnotic ballet,Trance Dance,thinkable
,,
Poem hour,Rhyme Time,thinkable
,,
Pig squeal,Swine Whine,thinkable
,,
Unusual seat,Rare Chair,thinkable
,,
Weak man,Frail Male,thinkable
,,
Ship saying,Boat Quote,thinkable
,,
Nightbird grimace,Owl Scowl,thinkable
,,
Bogus earth movement,Fake Quake,thinkable
,,
Penitentiary letters,Jail Mail,thinkable
,,
Sharp speech impediment,Crisp Lisp,thinkable
,,
Shovel up the droppings,Scoop Poop,thinkable
,,
Test expert,Quiz Wiz,thinkable
lifetime comply,career adhere,generated
obey accomplished,accept adept,generated
ignorant cultured,illiterate literate,generated
indivisible irreversible,inseparable irreparable,generated
side coincidental,incidental accidental,generated
reception antithetical,encounter counter,generated
shame quotation,confusion allusion,generated
literal defective,accurate inaccurate,generated
already despise,before abhor,generated
adroit obtain,adept accept,generated
already despise,before abhor,generated
fashion accommodate,form conform,generated
clothe achieve,attire acquire,generated
pregnant superfluous,abundant redundant,generated
consensus boarded,accord aboard,generated
extensive away,broad abroad,brute-generated
tasting descend,bite alight,brute-generated
introduce accuse,announce denounce,brute-generated
month Chinese,occasion asian,brute-generated
grandeur decay,gravity cavity,brute-generated
epidemic auspicious,contagious advantageous,generated
ignorant cultured,illiterate literate,generated
desist anew,abstain again,generated
odd aloof,different indifferent,generated
presumption drinking,assumption consumption,generated
absolve accept,acquit admit,generated
drudgery despise,chore abhor,generated
oblique significance,bent accent,generated
presumption drinking,assumption consumption,generated
ineligible accessible,unavailable available,generated
illusion quotation,confusion allusion,generated
leeway significance,extent accent,generated
inconspicuous insulting,unobtrusive abusive,generated
suppress annihilate,abolish demolish,generated
suggestive challenging,evocative provocative,generated
impracticable achievable,impossible possible,generated
struggle antipathy,attempt contempt,generated
finite infinite,definite indefinite,generated
aboard disreputable,boarded sordid,generated
annul annihilate,abolish demolish,generated
erupt comply,appear adhere,generated
egregious brutal,atrocious ferocious,generated
adequate appreciable,acceptable perceptible,generated
lucrative deadly,advantageous contagious,generated
elect accomplished,accept adept,generated
deportation cellar,displacement basement,generated
indecision confidence,uncertainty certainty,generated
accommodate cease,contain abstain,generated
influential dominant,dominant predominant,generated
rigorous defective,accurate inaccurate,generated
banish chasm,dismiss abyss,generated
forlorn beside,depressed abreast,generated
inadequate altruistic,deficient beneficent,generated
lifetime comply,career adhere,generated
digging despise,bore abhor,generated
lend boarded,afford aboard,generated
complicity quotation,collusion allusion,generated
indulge cease,entertain abstain,generated
careful defective,accurate inaccurate,generated
discretion alarm,attention apprehension,generated
hellish captivating,horrible adorable,generated
rescind annihilate,abolish demolish,generated
adopt accomplished,accept adept,generated
